Episode	Agent 1	Agent 2
1	5		5
2	5		1
3	1		8
4	4		3
5	4		6
6	5		6
7	2		4
8	10		7
9	1		1
10	1		5
11	6		7
12	4		0
13	7		0
14	5		11
15	10		4
16	4		7
17	2		8
18	1		12
19	6		7
20	3		9
21	7		5
22	5		12
23	2		8
24	4		8
25	1		6
26	2		5
27	2		6
28	10		4
29	8		7
30	2		6
31	1		2
32	0		4
33	7		7
34	6		6
35	2		6
36	9		8
37	6		6
38	11		3
39	6		2
40	6		5
41	7		6
42	2		6
43	12		1
44	6		5
45	4		10
46	8		3
47	2		4
48	8		2
49	5		6
50	0		6
51	5		6
52	10		5
53	3		9
54	2		6
55	0		9
56	8		4
57	12		3
58	3		3
59	0		5
60	3		4
61	1		4
62	7		5
63	6		3
64	7		3
65	7		4
66	4		3
67	2		4
68	4		3
69	5		7
70	2		4
71	4		5
72	3		5
73	7		6
74	5		7
75	5		3
76	4		9
77	7		5
78	10		7
79	10		8
80	5		3
81	2		11
82	3		8
83	2		8
84	6		5
85	4		9
86	3		10
87	6		4
88	6		7
89	8		7
90	9		10
91	4		12
92	3		7
93	7		9
94	2		10
95	9		9
96	4		9
97	2		6
98	5		8
99	6		8
100	4		10
101	7		7
102	8		8
103	8		15
104	2		9
105	6		9
106	3		8
107	6		10
108	2		12
109	1		9
110	8		7
111	5		9
112	3		12
113	6		6
114	1		14
115	7		9
116	8		7
117	4		14
118	7		10
119	3		12
120	5		13
121	4		7
122	7		8
123	7		12
124	4		5
125	6		8
126	3		7
127	7		12
128	7		12
129	6		7
130	8		11
131	6		7
132	3		8
133	5		10
134	7		8
135	3		10
136	4		8
137	6		8
138	5		9
139	7		13
140	0		7
141	8		14
142	6		19
143	7		14
144	6		10
145	9		9
146	7		9
147	5		11
148	2		5
149	2		13
150	6		4
151	8		7
152	3		15
153	4		13
154	8		6
155	5		9
156	6		11
157	9		16
158	6		7
159	2		15
160	5		16
161	7		8
162	4		12
163	6		9
164	5		13
165	6		10
166	3		14
167	6		9
168	6		11
169	6		8
170	4		18
171	7		10
172	5		12
173	6		12
174	9		11
175	5		11
176	8		9
177	7		8
178	8		13
179	2		9
180	5		12
181	5		13
182	2		4
183	7		11
184	9		11
185	6		13
186	6		8
187	6		12
188	6		13
189	6		7
190	10		14
191	11		16
192	6		11
193	4		12
194	5		8
195	5		12
196	6		10
197	7		13
198	6		13
199	6		9
200	3		11
201	5		12
202	5		10
203	7		8
204	5		13
205	2		12
206	4		8
207	6		12
208	5		12
209	4		10
210	3		9
211	4		9
212	4		18
213	8		10
214	4		10
215	5		9
216	5		10
217	5		11
218	6		11
219	2		7
220	6		9
221	5		16
222	7		11
223	6		9
224	4		11
225	6		10
226	7		16
227	5		12
228	3		13
229	5		11
230	4		10
231	5		10
232	9		13
233	5		7
234	5		5
235	5		9
236	6		13
237	6		11
238	4		10
239	5		9
240	7		15
241	4		11
242	6		11
243	8		17
244	6		11
245	6		10
246	6		9
247	7		17
248	5		15
249	5		12
250	6		10
251	6		16
252	7		8
253	6		14
254	3		7
255	6		16
256	5		12
257	5		15
258	6		15
259	7		19
260	5		17
261	3		18
262	6		10
263	4		16
264	5		8
265	4		10
266	8		13
267	6		15
268	4		17
269	5		14
270	6		16
271	6		14
272	4		14
273	6		13
274	3		15
275	5		18
276	8		10
277	6		12
278	5		10
279	6		14
280	10		15
281	7		11
282	6		14
283	3		12
284	2		7
285	3		15
286	3		14
287	3		16
288	6		11
289	5		10
290	2		23
291	3		17
292	4		18
293	2		19
294	4		15
295	4		14
296	5		13
297	4		14
298	5		16
299	11		16
300	7		19
301	6		10
302	5		19
303	3		19
