Episode	Agent 1	Agent 2
1	1		1
2	0		0
3	0		0
4	1		0
5	0		0
6	0		1
7	1		0
8	0		0
9	1		1
10	1		0
11	2		0
12	1		0
13	1		0
14	1		0
15	0		2
16	1		1
17	2		0
18	1		0
19	0		2
20	1		0
21	1		1
22	5		0
23	4		0
24	3		0
25	4		0
26	3		0
27	3		0
28	3		0
29	2		0
30	2		0
31	4		0
32	4		0
33	1		1
34	3		0
35	2		1
36	2		0
37	4		0
38	2		0
39	5		0
40	2		1
41	4		0
42	4		0
43	3		0
44	2		1
45	3		0
46	3		2
47	2		2
48	1		2
49	5		0
50	5		0
51	3		0
52	4		1
53	5		0
54	3		1
55	3		2
56	4		2
57	3		2
58	4		1
59	5		1
60	5		0
61	4		1
62	6		1
63	4		2
64	4		4
65	5		0
66	3		1
67	6		0
68	6		1
69	6		1
70	6		0
71	5		1
72	7		2
73	5		2
74	5		3
75	4		1
76	6		1
77	5		3
78	5		1
79	7		2
80	6		1
81	8		2
82	5		3
83	9		1
84	8		0
85	6		2
86	6		3
87	3		1
88	5		2
89	6		2
90	9		2
91	3		4
92	8		0
93	8		2
94	9		2
95	7		1
96	10		1
97	10		3
98	11		1
99	8		2
100	10		0
101	8		1
102	10		1
103	8		2
104	11		1
105	13		1
106	9		3
107	11		0
108	10		2
109	12		0
110	10		3
111	10		0
112	18		0
113	9		1
114	12		1
115	12		1
116	9		3
117	7		1
118	9		4
119	11		0
120	10		2
121	9		3
122	8		1
123	13		1
124	7		3
125	8		4
126	9		4
127	9		3
128	11		4
129	12		0
130	13		4
131	10		3
132	5		2
133	11		4
134	10		2
135	13		3
136	10		3
137	7		5
138	9		7
139	9		4
140	7		1
141	12		4
142	13		4
143	13		2
144	8		4
145	14		1
146	6		1
147	12		2
148	8		2
149	5		3
150	7		1
151	6		4
152	10		2
153	18		2
154	5		6
155	9		3
156	11		3
157	11		3
158	14		2
159	21		0
160	12		2
161	10		4
162	12		1
163	14		3
164	13		1
165	16		3
166	21		1
167	17		4
168	18		5
169	13		5
170	24		2
171	9		2
172	21		1
173	21		1
174	15		3
175	9		3
176	10		2
177	7		4
178	11		5
179	10		0
180	21		2
181	20		2
182	8		1
183	14		4
184	14		4
185	15		2
186	9		4
187	14		3
188	20		2
189	11		2
190	15		1
191	14		2
192	16		2
193	18		1
194	15		2
195	15		3
196	21		1
197	22		1
198	21		3
199	17		3
200	17		2
201	12		4
202	13		3
203	14		1
204	13		2
205	21		0
206	14		1
