Episode	Agent 1	Agent 2
1	3		0
2	0		0
3	0		0
4	6		2
5	0		2
6	2		3
7	6		1
8	0		0
9	0		0
10	1		0
11	0		0
12	7		4
13	5		3
14	4		7
15	2		0
16	1		0
17	3		3
18	0		1
19	2		2
20	2		2
21	1		9
22	0		0
23	1		4
24	8		3
25	0		1
26	0		2
27	6		3
28	5		11
29	3		5
30	0		4
31	3		2
32	2		1
33	2		2
34	0		0
35	1		3
36	0		1
37	7		2
38	0		2
39	3		2
40	3		10
41	4		0
42	5		3
43	1		5
44	2		1
45	1		0
46	3		4
47	1		0
48	1		3
49	1		0
50	2		7
51	2		5
52	0		0
53	3		3
54	1		3
55	9		5
56	3		1
57	5		4
58	1		2
59	4		1
60	0		4
61	1		4
62	1		6
63	5		3
64	10		2
65	2		2
66	2		6
67	0		4
68	3		1
69	1		2
70	4		1
71	2		1
72	1		4
73	7		1
74	2		4
75	2		3
76	8		6
77	0		5
78	5		4
79	1		2
80	1		4
81	6		4
82	4		3
83	0		6
84	4		6
85	8		3
86	4		2
87	8		2
88	3		6
89	2		7
90	1		4
91	4		3
92	2		2
93	7		6
94	3		4
95	5		4
96	4		0
97	5		8
98	6		8
99	9		1
100	4		3
101	4		4
102	4		1
103	3		2
104	2		2
105	3		3
106	5		2
107	2		1
108	12		19
109	4		9
110	5		6
111	4		3
112	4		4
113	6		2
114	5		2
115	3		4
116	3		4
117	4		4
118	5		2
119	2		4
120	3		2
121	6		4
122	4		3
123	2		2
124	5		6
125	1		5
126	5		2
127	8		2
128	3		6
129	5		6
130	4		9
131	4		3
132	2		4
133	1		4
134	2		6
135	4		2
136	6		3
137	4		6
138	2		4
139	4		1
140	15		8
141	8		4
142	3		9
143	0		11
144	7		6
145	9		5
146	5		4
147	10		4
148	6		4
149	2		3
150	2		5
151	6		3
152	5		5
153	7		4
154	5		1
155	2		6
156	2		5
157	2		7
158	4		5
159	4		4
160	9		6
161	3		3
162	6		8
163	7		4
164	5		9
165	3		2
166	6		4
167	5		5
168	4		5
169	3		4
170	3		10
171	3		6
172	5		4
173	5		8
174	9		6
175	6		6
176	5		4
177	5		3
178	5		7
179	4		7
180	5		2
181	4		5
182	5		7
183	4		2
184	6		4
185	7		5
186	10		6
187	3		5
188	9		2
189	8		5
190	6		2
191	5		7
192	4		5
193	3		4
194	6		3
195	4		8
196	8		3
197	4		6
198	5		4
199	4		4
200	5		3
201	3		3
202	4		6
203	6		3
204	4		8
205	5		5
206	5		5
207	7		10
208	7		5
209	5		5
210	8		3
211	7		6
212	7		5
213	2		4
214	8		7
215	6		8
216	7		5
217	5		3
218	6		6
219	6		6
220	8		7
221	5		4
222	5		10
223	5		6
224	5		6
225	6		6
226	6		4
227	7		10
228	8		5
229	6		4
230	5		9
231	2		6
232	8		4
233	5		4
234	1		4
235	5		4
236	4		3
237	3		5
238	5		8
239	6		3
240	7		2
241	5		8
242	2		8
243	4		2
244	7		7
245	5		10
246	4		3
247	6		5
248	4		6
249	6		6
250	5		5
251	5		8
252	6		5
253	6		13
254	4		3
255	2		4
256	4		2
257	6		3
258	4		7
259	5		7
260	9		5
261	7		5
262	5		6
263	9		6
264	6		6
265	4		5
266	4		5
267	9		4
268	5		12
269	6		6
270	9		8
271	8		9
272	5		5
273	6		11
274	7		5
275	5		7
276	3		7
277	7		4
278	5		4
279	8		8
280	3		7
281	2		6
282	9		6
283	7		6
284	8		6
285	6		7
286	7		4
287	11		6
288	7		8
289	6		13
290	5		4
291	5		7
292	3		6
293	4		5
294	6		7
295	4		5
296	2		2
297	1		5
298	6		8
299	7		7
300	7		6
301	5		10
302	7		3
303	6		5
304	4		7
305	2		7
306	3		5
307	5		1
308	5		7
309	6		6
310	5		8
311	2		3
312	3		5
313	3		4
314	4		6
315	4		5
316	9		5
317	4		5
318	4		3
319	2		6
320	5		4
321	6		5
